PROJEKT;PROJEKT_EJER_KONTOR
280901;10
281700;1
281700;1
281750;1
281750;1
281750;1
281769;1
281769;1
281769;1
281769;1
282170;10
282170;10
282170;10
282170;10
282170;10
282170;10
283000;10
283000;10
283000;10
283000;10
283000;10
283000;10
283000;10
283000;10
283000;10
283000;10
283000;10
283000;10
284000;10
284000;10
284000;10
284000;10
284000;10
285000;1
285000;1
285000;1
300001;5
300001;5
300001;5
300001;5
300001;5
300001;5
350501;1
361000;9
361000;9
361030;9
361030;9
361040;9
361040;9
361040;9
361040;9
361040;9
361040;9
361040;9
361040;9
361050;9
361050;9
361051;13
361052;13
361053;13
361053;13
361054;9
361054;9
361060;13
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370001;5
370002;5
370002;5
370003;5
370003;5
370003;5
370003;5
370003;5
370003;5
370003;5
370003;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370010;5
370117;10
370117;10
370117;10
370117;10
382000;16
382000;16
382000;16
382000;16
382000;16
382000;16
382000;16
382000;16
382000;16
382000;16
382000;16
382003;16
382038;16
382038;16
382038;16
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400600;1
400605;4
400605;4
892505;23
892505;23
892506;23
892506;23
892506;23
892507;23
892507;23
892507;23
892507;23
892507;23
892507;23
892507;23
892507;23
892507;23
892507;23
892507;23
892507;23
892507;23
892507;23
892507;23
892507;23
892507;23
892507;23
892507;23
892507;23
892507;23
892507;23
892508;23
892508;23
892508;23
892508;23
892508;23
892509;23
892509;23
892509;23
892509;23
892509;23
892509;23
892509;23
892509;23
892509;23
892509;23
892509;23
892509;23
892509;23
892509;23
892515;23
892515;23
892515;23
892515;23
892517;23
892517;23
892517;23
892517;23
892517;23
892550;23
892550;23
892550;23
892550;23
892550;23
892550;23
892550;23
892550;23
892550;23
892550;23
892550;23
892550;23
892550;23
892550;23
892550;23
892550;23
892551;23
892551;23
892551;23
892551;23
892551;23
892551;23
892551;23
892552;23
892552;23
892552;23
892552;23
892552;23
892552;23
892560;23
892560;23
892560;23
892560;23
900001;22
900001;22
900002;11
900002;11
900002;11
900002;11
900002;11
900002;11
900002;11
900002;11
900002;11
900002;11
900002;11
900002;11
954600;16
954600;16
954600;16
954600;16
987654;9
999990;9
460202;10
460202;10
460202;10
460202;10
460202;10
460202;10
460202;10
460202;10
460202;10
460202;10
460202;10
460202;10
460202;10
460202;10
460202;10
460202;10
460202;10
460203;10
460203;10
460203;10
460203;10
460203;10
460205;10
460205;10
460205;10
460205;10
460205;10
460205;10
460205;10
460205;10
460205;10
460205;10
460205;10
460207;23
460207;23
460207;23
460207;23
460207;23
460207;23
460207;23
460207;23
460207;23
460207;23
460207;23
460207;23
460207;23
460207;23
460207;23
460207;23
460207;23
460207;23
460207;23
460207;23
460207;23
460207;23
500001;22
500001;22
500001;22
500300;4
500300;4
500300;4
500300;4
500300;4
501101;1
501101;1
519601;11
520010;12
520010;12
520010;12
520010;12
520010;12
520010;12
520010;12
520010;12
520010;12
520010;12
520010;12
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
520100;8
523001;12
523001;12
523001;12
523001;12
523001;12
523001;12
523001;12
523001;12
523001;12
523001;12
523001;12
523001;12
523001;12
523001;12
523001;12
523001;12
523001;12
525003;12
525003;12
525003;12
525003;12
525003;12
525003;12
525003;12
525003;12
525003;12
525003;12
525003;12
525003;12
525004;12
525004;12
525004;12
525004;12
525004;12
525004;12
525004;12
525004;12
525004;12
525004;12
525004;12
525004;12
550001;23
550001;23
550001;23
550001;23
550001;23
550001;23
550001;23
560001;12
560001;12
560001;12
560001;12
560001;12
560001;12
560001;12
560001;12
560001;12
560001;12
560001;12
560001;12
560001;12
560002;12
560002;12
560002;12
560002;12
560002;12
560002;12
560002;12
560002;12
560002;12
560002;12
560002;12
560002;12
562000;8
562000;8
562000;8
562000;8
562000;8
562000;8
562000;8
562000;8
564000;11
564000;11
564000;11
564000;11
564001;23
564001;23
564001;23
584000;17
584000;17
584000;17
584000;17
584000;17
584000;17
584000;17
584000;17
584000;17
584000;17
584000;17
585000;17
585000;17
586000;17
589713;17
610010;8
610010;8
610010;8
610010;8
610010;8
610010;8
610010;8
610010;8
610010;8
610010;8
610010;8
610010;8
610010;8
610010;8
631001;8
631001;8
631001;8
631001;8
631001;8
631001;8
631001;8
631001;8
631001;8
640001;5
640001;5
700001;4
700001;4
700001;4
700001;4
700001;4
700001;4
700001;4
700001;4
700001;4
700002;4
700002;4
700002;4
700002;4
700002;4
700002;4
700002;4
705967;13
705968;13
705968;13
802403;1
802403;1
802403;1
802403;1
802403;1
802900;7
802900;7
802900;7
802900;7
803000;7
803100;7
803100;7
804401;23
804401;23
804401;23
804402;23
804402;23
804402;23
804402;23
804402;23
804402;23
804402;23
804402;23
804402;23
804402;23
804402;23
804402;23
804402;23
804402;23
